headline,nickname,abstract,website,time,word,view,like
忙里偷闲，闲逛江南水乡——绍兴,筱厨君,似乎从7月份以来，就没正儿八经地出去玩过，所以这一次，趁着周末，心血来潮跟着室友去啦一趟绍兴。 坦白说，这并不是一篇专门的游记，因为出游的目的是...,https://www.jianshu.com/p/3b2dd9be9be6,2018.11.05 22:03,字数 2005,阅读 6,喜欢 0
Desk Tour | 手把手教你打造颜值超高的温馨书桌,小宇的元气星球,大家好哇，我是小宇。 拥有一张好看的书桌才能认真学习和工作，不知道大家是不是也有这样的感受呢？ 每次在ins上看到博主们美貌的书桌，我都会想如果...,https://www.jianshu.com/p/42c0b1746532,2018.11.05 16:35,字数 1211,阅读 199,喜欢 11
冬季干燥加湿器如何选？这篇告诉你答案,我会上天,天气一步步转凉，马上就要进入瑟瑟发抖的冬天了，干和冷是冬季空气的两大特点，不过现在家家户户几乎都有了空调，不过因为空调的原理，室内空气的水分又减...,https://www.jianshu.com/p/eb65d5faa20b,2018.11.05 16:23,字数 2550,阅读 23,喜欢 0
孕期待产坐月子攻略总结－来自85后二胎妈妈,玥玥玛,近期又有朋友问起孕期待产的准备，还有养娃经验啥的，经她提醒，作为同龄人中比较超前的二胎妈妈，也厚着脸皮来总结个123，希望或多或少对各位新手妈咪...,https://www.jianshu.com/p/e559f007c7d7,2018.10.29 15:37*,字数 2325,阅读 309,喜欢 2
10款价格不贵效果超好的沐浴露推荐，赶紧种草吧！,做你可爱的梦,大家好，最近有人给我留言说想让我推荐一下沐浴露，那么今天来给你们分享一些我自己用过的价格不贵，非常好用的沐浴露，希望你们会喜欢哦！ 耐斯澎澎沐浴...,https://www.jianshu.com/p/96787e04fa2d,2018.11.05 07:27*,字数 1293,阅读 34,喜欢 0
蜜汁糯米莲藕，甜过初恋般的感觉,惠顾星辰,每年春暖花开时，用作藕种的莲藕会长出嫩芽，找到有水有淤泥的地方，把它整个栽进去，就会扎根茁壮成长。 从“小荷才露尖尖角”的初夏到“接天莲叶无穷碧...,https://www.jianshu.com/p/17aa8efd97fa,2018.11.05 15:50,字数 1084,阅读 45,喜欢 3
星巴克的“焦糖玛奇朵”，你知道它名字的寓意吗？,吃喝玩乐事儿,“你好，两杯焦糖玛奇朵，热的，中杯，谢谢！” 站在我面前，穿着小碎花裙的女孩，跟星巴克服务员说道。 “为什么不点拿铁、卡布奇诺？我觉得它们好喝”...,https://www.jianshu.com/p/c2de3ff1b9ab,2018.11.05 11:52,字数 2392,阅读 83,喜欢 1
不做引体向上，不练高位下拉，这4个动作也能让你在家练背！,波普董健身,离了健身房就练不了背？这4个徒手动作，在家就能练背肌！ 最近应大家的要求，给各位分享一些徒手健身的方法。 上一期分享了徒手练胸肌的动作，除了各种...,https://www.jianshu.com/p/f7cc7e159fbb,2018.11.05 11:26,字数 1048,阅读 56,喜欢 1
秋冬季在阳台种这10种蔬菜，耐寒好种又好看！,蓝妖花园,阳台除了养花，还可以种菜，自己在阳台上亲手种一些新鲜的有机蔬菜，吃起来真的是非常的美味，那冬天可以种些什么蔬菜呢？有没有比较耐寒不怕冷的蔬菜呢？...,https://www.jianshu.com/p/0037fe31cd90,2018.11.05 09:49,字数 847,阅读 41,喜欢 1
从小陪伴女儿的爸爸，为什么会对不正常的父女关系恶心？,幼儿说,爸爸可以对女儿有亲密的行为吗？ 最近带小朋友外出玩耍，在公园的公共洗手间旁边的小路上，一位爸爸帮女娃儿换裙子，小女娃在哭闹，小裙子湿漉漉的。有大...,https://www.jianshu.com/p/a45c49d85f68,2018.11.05 08:48,字数 1848,阅读 77,喜欢 0
送什么礼物给喜欢电竞的男朋友？,桑塔露露的礼物盒,英雄联盟世界杯比赛终于结束啦～～恭喜中国队IG获得英雄联盟世界杯冠军！ 今天想推荐一下适合送给电竞爱好者的礼物，助TA玩游戏的时候Carry全场...,https://www.jianshu.com/p/882fbd1e9d64,2018.11.05 07:52,字数 1290,阅读 25,喜欢 0
北欧简约清新风—火烈鸟跟花（十一）,阳阳君,好多水彩大神都有画过火烈鸟，今天也来凑热闹绘画一副火烈鸟跟花，绘画的素材来源于微博。 自从开始沉迷于抖音之后，发现好多朋友把大学宿舍装饰的简直像...,https://www.jianshu.com/p/e7cd6ffb56f0,2018.11.04 23:00,字数 1096,阅读 70,喜欢 3
好物安利（一）,一个人的小鹅厂,2018-11-03 霾 之前写了很多乱七八糟没有价值的东西，写多了自己都觉得烦了，今天就总结一下用过的好东西吧，可能是一个杂货铺啥都有，也算是...,https://www.jianshu.com/p/67abd6fe6a62,2018.11.03 23:50,字数 1126,阅读 51,喜欢 2
干皮过冬指南：那些比水光针还好用的护肤品们,飞起来的云,老规矩先说一下肤质： 夏天混油，秋冬混干的肤质，鼻翼两侧的毛孔也比较明显，眼下长了3条小皱纹，肤色之前一直比较暗沉，然后两颊也有红血丝，是轻微敏...,https://www.jianshu.com/p/db69f77cb1dc,2018.11.03 23:12*,字数 1667,阅读 55,喜欢 3
实用靠谱的娱乐圈儿双十一时尚穿衣指南！拿走不谢！,王爷万安,马上就是万众瞩目的双十一购物节了，小伙伴们准备好“玩儿命剁手为红颜”了咩？ 娱乐圈儿的女童鞋可个个都不是省油的灯，即便在冬天的冷风中瑟瑟发抖，也...,https://www.jianshu.com/p/55fed4eb0355,2018.11.04 13:32,字数 2649,阅读 35,喜欢 1
【早早美妆篇1】学生党平价化妆品推荐！(附带使用感和自己发明的使用方法),早早say早早,推荐都是自己近期使用的感觉很不错的平价产品，好多都用铁皮了哈哈哈，是真的好用，我会说一下我的使用感，有的彩妆也会说一下上妆手法，个人觉得是很实在...,https://www.jianshu.com/p/813b850f2bfb,2018.11.03 20:28*,字数 1182,阅读 67,喜欢 2
摄像头它最酷，智能AI可以媲美天眼，还有天猫附身,数码爵士,自动跟踪摄像头只在电影中看过，没想到竟然做出来了，仅229元 现在的智能摄像头都很普及了，新闻上经常能看到它们的监控的视频，在家庭安防上起到很大...,https://www.jianshu.com/p/fe18d81028b5,2018.11.03 20:04,字数 1647,阅读 24,喜欢 0
皇后锅:十六种鱼的做法，绝对能让你压得住场子！,闪亮缘梦,小时候，家里一直用吃鱼会变聪明的理由逼着吃鱼，现在早就不用家里编理由啦，这么好吃的人间美味，几个人能忍住诱惑。 1、【口水鱼的做法】 原料: 花...,https://www.jianshu.com/p/b90d85d8a5be,2018.11.04 15:23,字数 4962,阅读 41,喜欢 2
